kategori,soru_metni,risk_puani,brc_ref,frekans,aktif,lokasyon_ids,id
Genel,"Personelin ellerinde yara, kesik veya bandaj var mı? (Varsa mavi bantla kapatılmış mı?)",3,2004-02-07 00:00:00,GÜNLÜK,True,,5
Genel,"Personel takı (yüzük, küpe, saat, oje) takıyor mu?",3,2001-02-07 00:00:00,GÜNLÜK,True,,6
Genel,Personel bonesi saçı ve kulakları tam kapatıyor mu?,2,2002-04-07 00:00:00,GÜNLÜK,True,,7
Genel,İş kıyafetleri temiz mi ve düğmesiz/cepsiz mi?,2,2002-04-07 00:00:00,GÜNLÜK,True,,8
Hijyen,Giriş turnikelerindeki el dezenfektanları dolu ve çalışır durumda mı?,3,2004-08-04 00:00:00,GÜNLÜK,True,,9
Hijyen,"Tuvaletlerde sıvı sabun, kağıt havlu ve sıcak su mevcut mu?",2,2006-08-04 00:00:00,GÜNLÜK,True,,10
Bina/Altyapı,Aydınlatma lambalarının tamamı yanıyor mu ve koruyucuları (muhafazaları) sağlam mı?,3,2010-04-04 00:00:00,HAFTALIK,True,,11
Bina/Altyapı,"Pencere sineklikleri sağlam, yırtıksız ve temiz mi?",2,2008-04-04 00:00:00,AYLIK,True,,12
Bina/Altyapı,"Duvar ve zeminlerde kırık, çatlak veya dökülme var mı?",2,2001-04-04 00:00:00,AYLIK,True,,13
Operasyon,Un eleme makinesinin telleri sağlam mı? (Yırtık/delik kontrolü),3,2001-10-04 00:00:00,GÜNLÜK,True,,14
Operasyon,Mikser ve kazanlarda parça/vida eksikliği var mı? (Metal riski),3,2026-06-04 00:00:00,GÜNLÜK,True,,15
Operasyon,Kızartma yağı (TPM) ve sıcaklık ölçümleri limitler dahilinde mi?,3,2026-03-05 00:00:00,GÜNLÜK,True,,16
Operasyon,Ürünler +4°C (veya tanımlı sıcaklıkta) soğutuluyor mu?,3,2001-01-06 00:00:00,GÜNLÜK,True,,17
Operasyon,Depodaki ürünler 'İlk Giren İlk Çıkar' (FIFO) kuralına göre kullanılıyor mu?,2,2002-02-05 00:00:00,HAFTALIK,True,,18
Gıda Savunma,Temizlik kimyasalları kilitli dolapta mı tutuluyor?,3,2006-11-04 00:00:00,GÜNLÜK,True,,19
Gıda Savunma,"Dış kapılar, rampalar ve acil çıkışlar kapalı/kilitli mi?",3,2001-02-04 00:00:00,GÜNLÜK,True,,20
Gıda Savunma,Ziyaretçiler kayıt altına alınıyor ve eşlik ediliyor mu?,2,2002-02-04 00:00:00,GÜNLÜK,True,,21
Gıda Sahteciliği,"Kullanılan 'Antep Fıstığı', 'Kakao' gibi değerli hammaddelerin orijinal ambalajı ve etiketi doğrulandı mı?",2,2002-04-05 00:00:00,HER PARTİ,True,,22
Gıda Sahteciliği,Gelen hammaddelerin etiket bilgileri ile irsaliye eşleşiyor mu?,3,2001-05-03 00:00:00,HER PARTİ,True,,23
Bina/Altyapı,"Cam ve sert plastikler (ekran, saat vb.) sağlam mı? (Kırık/çatlak yok)",3,2003-09-04 00:00:00,HAFTALIK,True,,24
Genel,"Alanda falçata (kırılabilir bıçak), raptiye veya tel zımba var mı? (YASAK)",2,2006-09-04 00:00:00,GÜNLÜK,True,,25
Operasyon,Açılmış hammadde çuvallarının ağzı kapalı ve etiketi üzerinde mi?,2,2001-04-05 00:00:00,GÜNLÜK,True,,26
Operasyon,Ürünler duvardan en az 50 cm uzakta ve palet üzerinde mi?,1,2014-04-01 00:00:00,HAFTALIK,True,,27
Hijyen,"Çöp kovaları kapaklı, pedallı ve temiz mi?",2,2026-12-04 00:00:00,GÜNLÜK,True,,28
Bina/Altyapı,Giderler ve rögarlar temiz mi? Koku veya tıkanıklık var mı?,3,2004-04-04 00:00:00,HAFTALIK,True,,29
Operasyon,Bıçak ve kesici aletler bütün mü? (Kırık uç kontrolü),3,2006-09-04 00:00:00,GÜNLÜK,True,,30
Gıda Savunma,Su deposu kapakları kilitli mi?,3,2001-05-04 00:00:00,HAFTALIK,True,,31
Bina/Altyapı,Fare/Haşere istasyonları (kemirgen yemleri) yerinde ve sağlam mı?,3,2014-04-01 00:00:00,AYLIK,True,,32
Operasyon,Ürün içi sıcaklık ölçümlerinde termometre temizlenip kullanılıyor mu?,2,2026-04-06 00:00:00,GÜNLÜK,True,,33
Genel,"Personel hastalıklı (ishal, açık yara vb.) durumunu bildirdi mi?",3,2026-03-07 00:00:00,GÜNLÜK,True,,34
